标题,详细,地址,房型,价格,链接
闵行区-自由公寓,"社区配套成熟, 可随时看房, 家具齐全",距1号线莘庄795米,1室1厅1卫-20.0㎡ 复式,2000,http://www.mgzf.com/room/11713625.shtml?page=list&sourceType=2
浦东新区-晶耀名邸,前滩CBD核心，坐拥三线，南北通透，中心位置，婚装全配，急租,距6号线东方体育中心443米,2室2厅1卫-98.0㎡ ,11000,http://www.mgzf.com/room/15214423.shtml?page=list&sourceType=2
浦东新区-唐丰苑,房东直租，无中介费，无服务费，原始户型，百套房可选，张江唐镇,位于 唐镇 附近,1室1厅1卫-78.0㎡ ,4900,http://www.mgzf.com/room/15141715.shtml?page=list&sourceType=2
松江区-华亭绿景苑,"地铁沿线, 可随时看房, 精装修房",距9号线松江新城763米,四居室-南卧-18.0㎡,1650,http://www.mgzf.com/room/884156.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,"周边设施齐全, 治安良好, 拎包入住",距8号线芦恒路715米,1室0厅0卫-20.0㎡ ,2000,http://www.mgzf.com/room/15192763.shtml?page=list&sourceType=2
徐汇区-怡桂苑,"地理位置优越, 高档品质小区, 精装修房",距9号线桂林路271米,1室1厅1卫-45.0㎡ ,5350,http://www.mgzf.com/room/7966680.shtml?page=list&sourceType=2
浦东新区-都林嘉苑南苑,"周边设施齐全, 视野开阔, 舍友素质高",距6号线华夏西路525米,1室0厅1卫-25.0㎡ ,1550,http://www.mgzf.com/room/15225286.shtml?page=list&sourceType=2
浦东新区-东方康达二期,"地铁沿线, 视野开阔, 精装修房",位于 三林 附近,1室0厅1卫-30.0㎡ ,1600,http://www.mgzf.com/room/15204526.shtml?page=list&sourceType=2
浦东新区-世华锦城860弄,整套出租，超大三房，空间宽敞，价格实惠，先到先得。,距8号线杨思626米,3室2厅2卫-125.0㎡ ,5200,http://www.mgzf.com/room/15177796.shtml?page=list&sourceType=2
闵行区-永康城永锦苑,"地处繁华商圈, 性价比高, 家具齐全",位于 浦江镇 附近,2室2厅1卫-88.0㎡ ,2400,http://www.mgzf.com/room/15193159.shtml?page=list&sourceType=2
闵行区-万朗国际酒店,"地处繁华商圈, 安静宜居, 家具齐全",距12号线七莘路629米,1室0厅1卫-31.0㎡ 小清新舒适,4111,http://www.mgzf.com/room/14513851.shtml?page=list&sourceType=2
浦东新区-金谊河畔,"地铁沿线, 治安良好, 房间干净整洁",距11号线三林505米,1室1厅1卫-40.0㎡ ,3500,http://www.mgzf.com/room/15208390.shtml?page=list&sourceType=2
闵行区-柚米国际社区（浦江店）,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线联航路447米,1室1厅0卫-45.0㎡ ,2200,http://www.mgzf.com/room/15232567.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,（微租公寓）会员终身免佣   ,距8号线芦恒路715米,1室0厅1卫-19.0㎡ ,1780,http://www.mgzf.com/room/15208465.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161弄,网红租房，会员终身免佣金。,距8号线芦恒路1352米,1室1厅1卫-28.0㎡ ,1800,http://www.mgzf.com/room/15149485.shtml?page=list&sourceType=2
浦东新区-金光一村,6号线上南路 大一房出租中，，,距6号线上南路441米,1室1厅1卫-49.0㎡ ,1500,http://www.mgzf.com/room/15130471.shtml?page=list&sourceType=2
浦东新区-东方康达二期,"交通购物超便利, 绿化覆盖率高, 精装修房",位于 三林 附近,1室0厅1卫-25.0㎡ ,1530,http://www.mgzf.com/room/15204445.shtml?page=list&sourceType=2
浦东新区-盛世南苑,房屋出租，喜欢，加微信Msj4948,距8号线芦恒路408米,1室0厅1卫-25.0㎡ ,1620,http://www.mgzf.com/room/15171004.shtml?page=list&sourceType=2
闵行区-闵浦新苑五村,( 网 红 租 房 ) 会 员 终 生 免 拥,距轨道交通浦江线三鲁公路1072米,1室0厅1卫-55.0㎡ ,1500,http://www.mgzf.com/room/15183832.shtml?page=list&sourceType=2
浦东新区-金谊河畔,（微租公寓）会员终身免佣,距11号线三林505米,1室0厅1卫-25.0㎡ ,1680,http://www.mgzf.com/room/15324925.shtml?page=list&sourceType=2
浦东新区-东方康安家园,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线芦恒路1173米,1室0厅0卫-16.0㎡ ,1800,http://www.mgzf.com/room/15213604.shtml?page=list&sourceType=2
普陀区-新泉大厦,"社区配套成熟, 中高楼层, 配备宽带",距7号线新村路820米,五居室-东卧-10.9㎡,2300,http://www.mgzf.com/room/456826.shtml?page=list&sourceType=2
浦东新区-三杨新村一街坊,"房间照片实拍, 可随时看房, 家具齐全",距8号线杨思772米,1室0厅1卫-20.0㎡ ,1800,http://www.mgzf.com/room/15034066.shtml?page=list&sourceType=2
浦东新区-东方康德家园105弄,"交通购物超便利, 中高楼层, 采光充足",距11号线三林835米,1室0厅1卫-20.0㎡ ,1514,http://www.mgzf.com/room/15142660.shtml?page=list&sourceType=2
黄浦区-威海苑,"地处中心地段, 安静宜居, 采光充足",位于 人民广场 附近,四居室-东卧-18.0㎡,4100,http://www.mgzf.com/room/9387323.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,（微租公寓）会员终身免佣   ,距8号线芦恒路715米,1室0厅1卫-20.0㎡ ,1850,http://www.mgzf.com/room/15208471.shtml?page=list&sourceType=2
闵行区-红星美凯龙(联航路店),靠近八号线地铁线厨卫齐全 南北通透 全装全配 采光充足安静,距8号线联航路692米,1室0厅1卫-40.0㎡ ,1000,http://www.mgzf.com/room/15218218.shtml?page=list&sourceType=2
浦东新区-张江人才公寓,"交通便利, 可随时看房, 房间干净整洁",位于 张江 附近,4室1厅1卫-120.0㎡ ,5400,http://www.mgzf.com/room/15231271.shtml?page=list&sourceType=2
浦东新区-东方悦居苑,八号线杨思站精装修附近商场学校医院 ,距8号线成山路1011米,2室1厅1卫-78.0㎡ ,5500,http://www.mgzf.com/room/15203968.shtml?page=list&sourceType=2
浦东新区-博学家园,"交通便利, 性价比高, 家具齐全",距6号线高青路412米,1室0厅1卫-29.0㎡ ,1600,http://www.mgzf.com/room/15286057.shtml?page=list&sourceType=2
浦东新区-高申北苑,近 五角场 杨浦612号线地铁高申北苑三房整租精装全配随时住,距6号线五洲大道902米,3室1厅1卫-85.0㎡ ,5200,http://www.mgzf.com/room/15169798.shtml?page=list&sourceType=2
闵行区-一品漫城五期,<微租公寓>会员终生免佣金,距8号线芦恒路1269米,2室1厅2卫-80.0㎡ ,4680,http://www.mgzf.com/room/15145768.shtml?page=list&sourceType=2
闵行区-浦江颐城（浦江公寓）,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线联航路620米,1室1厅1卫-52.0㎡ ,3700,http://www.mgzf.com/room/15291865.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,"交通便捷, 高档品质小区, 房间朝向好",距8号线芦恒路715米,1室1厅1卫-31.0㎡ ,1625,http://www.mgzf.com/room/15178381.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161弄,"地处繁华商圈, 物业管理严格, 房间干净整洁",距8号线芦恒路1352米,1室0厅1卫-22.0㎡ ,1500,http://www.mgzf.com/room/15187540.shtml?page=list&sourceType=2
浦东新区-博学家园1899弄,"交通购物超便利, 高档品质小区, 独立卫浴",距6号线高青路440米,1室0厅1卫-29.0㎡ ,2000,http://www.mgzf.com/room/15220651.shtml?page=list&sourceType=2
浦东新区-博学家园1899弄,"房间照片实拍, 安静宜居, 独立卫浴",距6号线高青路440米,1室0厅1卫-28.0㎡ ,1880,http://www.mgzf.com/room/15220522.shtml?page=list&sourceType=2
浦东新区-世华锦城,"房间照片实拍, 视野开阔, 家具齐全",距8号线杨思601米,2室2厅1卫-95.0㎡ ,5800,http://www.mgzf.com/room/15201376.shtml?page=list&sourceType=2
松江区-凯富人才公寓,"房间照片实拍, 治安良好, 独立卫浴",位于 松江科技园 附近,1室0厅1卫-13.0㎡ 经济型A,1050,http://www.mgzf.com/room/11020574.shtml?page=list&sourceType=2
浦东新区-龙科公寓,7号线芳华路附近，出行10分钟,距7号线芳华路537米,二居室-南卧-24.0㎡,2000,http://www.mgzf.com/room/15311431.shtml?page=list&sourceType=2
浦东新区-金苹果花园,"地理位置优越, 高档品质小区, 舍友素质高",距6号线灵岩南路862米,1室0厅1卫-30.0㎡ ,1400,http://www.mgzf.com/room/15198520.shtml?page=list&sourceType=2
闵行区-舒适复试一居室,"周边设施齐全, 高档品质小区, 配备宽带",距12号线七莘路629米,1室1厅1卫-32.0㎡ 温馨复试一居室,2785,http://www.mgzf.com/room/14559745.shtml?page=list&sourceType=2
浦东新区-张江人才公寓,"交通便利, 可随时看房, 房间干净整洁",位于 张江 附近,3室1厅1卫-100.0㎡ ,4300,http://www.mgzf.com/room/15231277.shtml?page=list&sourceType=2
闵行区-浦江智汇园,联航路 863软件园 智谷旁边 一室户 精装全配 押一付一,距8号线联航路985米,1室1厅1卫-50.0㎡ ,1350,http://www.mgzf.com/room/15194314.shtml?page=list&sourceType=2
浦东新区-绿波城,绿波城 精装整租两房 家电齐全 居家温馨 可办居住证 落户,距2号线东延伸段创新中路880米,2室1厅1卫-75.0㎡ ,5600,http://www.mgzf.com/room/15265663.shtml?page=list&sourceType=2
闵行区-一品漫城二期,"社区配套成熟, 性价比高, 房间干净整洁",距8号线芦恒路70米,2室1厅1卫-93.0㎡ ,4500,http://www.mgzf.com/room/15149083.shtml?page=list&sourceType=2
浦东新区-岭南苑三期,"交通购物超便利, 物业管理严格, 房间干净整洁",距8号线凌兆新村211米,2室2厅1卫-88.0㎡ ,4500,http://www.mgzf.com/room/15146488.shtml?page=list&sourceType=2
浦东新区-川杨新苑(六期),地铁13号线近在迟尺 非合租 精装全配 近百度 盛大 汇智！,距13号线张江路37米,三居室-南卧-21.0㎡,1500,http://www.mgzf.com/room/15449560.shtml?page=list&sourceType=2
浦东新区-川杨新苑(六期),近百度 盛大 惠生 药谷 性价比超高 独立厨卫 非合租 精装,距13号线张江路37米,三居室-南卧-19.0㎡,1400,http://www.mgzf.com/room/15449563.shtml?page=list&sourceType=2
闵行区-华侨城三期,( 网 红 租 房 ) 会 员 终 生 免 拥,距8号线浦江镇742米,1室0厅1卫-50.0㎡ ,1400,http://www.mgzf.com/room/15184468.shtml?page=list&sourceType=2
浦东新区-纯翠苑,纯翠苑，坐拥地铁6号线，南北通透，精装全配，中心位置，急租,距6号线上南路490米,2室2厅1卫-89.0㎡ ,5300,http://www.mgzf.com/room/15215728.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,"社区配套成熟, 绿化覆盖率高, 电梯房",距8号线芦恒路715米,1室1厅1卫-30.0㎡ ,1850,http://www.mgzf.com/room/15178120.shtml?page=list&sourceType=2
浦东新区-福竹小区,"地处繁华商圈, 中高楼层, 配备宽带",距2号线世纪大道292米,1室1厅1卫-79.0㎡ ,4800,http://www.mgzf.com/room/15225355.shtml?page=list&sourceType=2
浦东新区-东方康达家苑二期,（微租公寓）会员终身免佣   ,距8号线芦恒路715米,1室0厅1卫-20.0㎡ ,1750,http://www.mgzf.com/room/15208456.shtml?page=list&sourceType=2
闵行区-极客青年社区B栋,意式托斯卡纳风·轻奢公寓,距10号线紫藤路137米,1室0厅1卫-30.0㎡ 意式大床间,4080,http://www.mgzf.com/room/11586527.shtml?page=list&sourceType=2
闵行区-柚米寓华侨城店,"地理位置优越, 绿化覆盖率高, 舍友素质高",距8号线浦江镇1394米,1室1厅1卫-30.0㎡ 标准朝南一户式,2598,http://www.mgzf.com/room/15000595.shtml?page=list&sourceType=2
浦东新区-东旺名苑,东旺名苑，近地铁6.8号线，南北通透，精装4房，可整租，合租,距6号线上南路913米,四居室-北卧-8.0㎡,1000,http://www.mgzf.com/room/15295921.shtml?page=list&sourceType=2
浦东新区-瑞寓公寓E幢,"交通便捷, 黄金楼层, 电梯房",位于 川沙 附近,1室0厅1卫-25.0㎡ 普通一室户,1500,http://www.mgzf.com/room/1989223.shtml?page=list&sourceType=2
闵行区-世博家园七街坊,( 网 红 租 房 ) 会 员 终 生 免 拥,距8号线联航路617米,1室0厅1卫-46.0㎡ ,1500,http://www.mgzf.com/room/15141436.shtml?page=list&sourceType=2
浦东新区-海家白领公寓,"周边设施齐全, 治安良好, 舍友素质高",距2号线东延伸段川沙719米,1室1厅1卫-25.0㎡ 海家公寓B,1580,http://www.mgzf.com/room/383510.shtml?page=list&sourceType=2
徐汇区-华悦家园,"周边设施齐全, 绿化覆盖率高, 房间干净整洁",距12号线虹漕路358米,4室1厅1卫-128.0㎡ ,8500,http://www.mgzf.com/room/5175793.shtml?page=list&sourceType=2
浦东新区-思浦小区,（微租公寓）会员终生免佣,距8号线杨思193米,1室0厅1卫-25.0㎡ ,1580,http://www.mgzf.com/room/15306163.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161,"社区配套成熟, 安静宜居, 精装修房",距8号线芦恒路1521米,1室0厅1卫-32.0㎡ ,1500,http://www.mgzf.com/room/15130906.shtml?page=list&sourceType=2
浦东新区-海桐苑二期,市中心精装两室整租 民用水电燃气做饭 房东直租可随时看房入住,距2号线世纪公园612米,2室1厅1卫-99.0㎡ ,10000,http://www.mgzf.com/room/15255973.shtml?page=list&sourceType=2
浦东新区-三林新村（永泰路258弄）,"房间照片实拍, 物业管理严格, 采光充足",距11号线三林827米,1室0厅1卫-20.0㎡ ,1800,http://www.mgzf.com/room/15296527.shtml?page=list&sourceType=2
浦东新区-博安苑,"地理位置优越, 绿化覆盖率高, 配备宽带",距13号线北蔡444米,1室0厅1卫-30.0㎡ ,1800,http://www.mgzf.com/room/15203794.shtml?page=list&sourceType=2
浦东新区-虞泽苑,13号线地铁零距离，地铁出行5分钟，可直达南京西路,距13号线陈春路276米,三居室-南卧-24.0㎡,1800,http://www.mgzf.com/room/15229621.shtml?page=list&sourceType=2
浦东新区-盛世南苑,房屋出租，喜欢，加微信Msj4948,距8号线芦恒路408米,1室0厅1卫-23.0㎡ ,1620,http://www.mgzf.com/room/15171085.shtml?page=list&sourceType=2
松江区-嘉禾阳光城,"地处繁华商圈, 高档品质小区, 房间干净整洁",距9号线九亭462米,三居室-南卧-26.0㎡,1680,http://www.mgzf.com/room/9281285.shtml?page=list&sourceType=2
浦东新区-东方悦居1121,"交通便利, 可随时看房, 精装修房",距6号线东明路912米,1室0厅0卫-20.0㎡ ,2000,http://www.mgzf.com/room/15169819.shtml?page=list&sourceType=2
松江区-九久青年城,"地处繁华商圈, 安静宜居, 家具齐全",距9号线九亭84米,三居室-南卧-18.0㎡,2100,http://www.mgzf.com/room/498755.shtml?page=list&sourceType=2
闵行区-浦恒馨苑,八号线芦恒路！整租一室户！近地铁站！房东直租！押一付一,位于 浦江镇 附近,1室1厅1卫-52.0㎡ ,1600,http://www.mgzf.com/room/15144820.shtml?page=list&sourceType=2
浦东新区-意凯家苑,"地铁沿线, 绿化覆盖率高, 家具齐全",距11号线三林672米,二居室-南卧-33.0㎡,2200,http://www.mgzf.com/room/15229441.shtml?page=list&sourceType=2
松江区-茗雅苑,"地理位置优越, 高档品质小区, 拎包入住",位于 佘山 附近,三居室-南卧-22.0㎡,1250,http://www.mgzf.com/room/11030669.shtml?page=list&sourceType=2
浦东新区-北艾路1660弄,7号、13号线地铁穿过，可直达南京西路,距13号线华鹏路502米,四居室-南卧-24.0㎡,2750,http://www.mgzf.com/room/15229702.shtml?page=list&sourceType=2
浦东新区-银马苑,（网红租房）会员终身免佣,距8号线杨思306米,1室1厅1卫-66.0㎡ ,4100,http://www.mgzf.com/room/15292654.shtml?page=list&sourceType=2
闵行区-一品漫城一期,真正的拎包入住，洒脱无比,距8号线芦恒路15米,1室1厅1卫-53.0㎡ ,3500,http://www.mgzf.com/room/15290149.shtml?page=list&sourceType=2
浦东新区-金谊河畔,"交通购物超便利, 可随时看房, 房间干净整洁",距11号线三林505米,1室0厅1卫-26.0㎡ ,1680,http://www.mgzf.com/room/15290254.shtml?page=list&sourceType=2
闵行区-舒适复试一居室,"交通便捷, 黄金楼层, 舍友素质高",距12号线七莘路629米,1室1厅1卫-34.0㎡ 复试精装修拎包入,2822,http://www.mgzf.com/room/14559808.shtml?page=list&sourceType=2
浦东新区-上南一村,耀华路地铁2号口整租一房干净卫生明亮民用水电独门独户天然气,距7号线耀华路270米,1室1厅1卫-40.0㎡ ,4000,http://www.mgzf.com/room/15287140.shtml?page=list&sourceType=2
闵行区-浦江世博家园十街坊,"交通便利, 治安良好, 家具齐全",距8号线联航路382米,三居室-南卧-21.0㎡,1650,http://www.mgzf.com/room/15194365.shtml?page=list&sourceType=2
宝山区-上坤极客公寓2号楼,"交通便利, 中高楼层, 家具齐全",距1号线宝安公路393米,1室1厅1卫-15.0㎡ 朝北温馨单间,1628,http://www.mgzf.com/room/7803273.shtml?page=list&sourceType=2
浦东新区-三林新村133弄,"周边设施齐全, 物业管理严格, 电梯房",距11号线三林886米,1室1厅1卫-50.0㎡ ,3300,http://www.mgzf.com/room/15284596.shtml?page=list&sourceType=2
闵行区-浦恒馨苑2161弄,网红租房，会员终身免佣金。,距8号线芦恒路1352米,1室0厅1卫-20.0㎡ ,1650,http://www.mgzf.com/room/15149515.shtml?page=list&sourceType=2
浦东新区-德祥苑,精装一室户，带独立卫生间，随时看,距13号线陈春路290米,二居室-南卧-26.0㎡,1680,http://www.mgzf.com/room/15208375.shtml?page=list&sourceType=2
浦东新区-世华锦城,"地处繁华商圈, 绿化覆盖率高, 拎包入住",距8号线杨思601米,1室0厅1卫-30.0㎡ ,1400,http://www.mgzf.com/room/15296200.shtml?page=list&sourceType=2
浦东新区-银马苑,（网红租房）会员终身免佣,距8号线杨思306米,1室1厅1卫-55.0㎡ ,4200,http://www.mgzf.com/room/15292657.shtml?page=list&sourceType=2
浦东新区-唐丰苑,房东直租，无中介费，无服务费，原始户型，百套房可选，张江唐镇,位于 唐镇 附近,1室1厅1卫-58.0㎡ ,3900,http://www.mgzf.com/room/15141727.shtml?page=list&sourceType=2
浦东新区-张江东区人才公寓,人才公寓精装修整租原始三房，燃气做饭，随时住,位于 合庆 附近,3室1厅1卫-100.0㎡ ,4500,http://www.mgzf.com/room/15260542.shtml?page=list&sourceType=2
浦东新区-小布丁公寓,"地处中心地段, 黄金楼层, 精装修房",距11号线御桥1157米,1室1厅1卫-20.0㎡ 平层5,1500,http://www.mgzf.com/room/15326542.shtml?page=list&sourceType=2
闵行区-浦江颐城尚院,"交通便捷, 性价比高, 房间朝向好",距8号线浦江镇600米,1室1厅1卫-38.0㎡ ,1660,http://www.mgzf.com/room/15144619.shtml?page=list&sourceType=2
静安区-蚂蚁公舍（中山北路店）,"社区配套成熟, 性价比高, 独立卫浴",距1号线中山北路383米,1室1厅1卫-20.0㎡ 复式带内窗,2580,http://www.mgzf.com/room/636521.shtml?page=list&sourceType=2
浦东新区-三杨新村一街坊,"地处繁华商圈, 物业管理严格, 精装修房",距8号线杨思772米,1室0厅1卫-28.0㎡ ,2600,http://www.mgzf.com/room/15121471.shtml?page=list&sourceType=2
浦东新区-上南二村,"房间照片实拍, 绿化覆盖率高, 配备宽带",距7号线耀华路297米,1室1厅1卫-46.0㎡ ,4000,http://www.mgzf.com/room/15311122.shtml?page=list&sourceType=2
宝山区-青果寓（城银路店）,"交通购物超便利, 物业管理严格, 精装修房",位于 上大 附近,1室1厅1卫-17.2㎡ 1室1厅B2,1660,http://www.mgzf.com/room/6669348.shtml?page=list&sourceType=2
浦东新区-三林新村258弄,三林新村258弄原始2房精装修的家电全配随时好看你来就是你的,距11号线三林764米,2室1厅1卫-86.0㎡ ,5500,http://www.mgzf.com/room/15254002.shtml?page=list&sourceType=2
闵行区-万朗国际酒店,"交通便捷, 性价比高, 拎包入住",距12号线七莘路629米,1室1厅1卫-31.0㎡ 舒适小窝,2785,http://www.mgzf.com/room/14513716.shtml?page=list&sourceType=2
浦东新区-川杨新苑南区,地铁13号线近在迟尺 非合租 精装全配 近百度 盛大 汇智！,距13号线张江路175米,三居室-南卧-28.0㎡,1450,http://www.mgzf.com/room/15405190.shtml?page=list&sourceType=2
浦东新区-休思公寓,"交通便捷, 物业管理严格, 房间干净整洁",距8号线杨思275米,1室1厅1卫-30.0㎡ 明窗大房间,3000,http://www.mgzf.com/room/7507731.shtml?page=list&sourceType=2
浦东新区-思浦小区,"交通购物超便利, 中高楼层, 房间朝向好",距8号线杨思193米,2室1厅1卫-86.0㎡ ,3900,http://www.mgzf.com/room/15219910.shtml?page=list&sourceType=2
浦东新区-由由新邸,"地理位置优越, 中高楼层, 采光充足",距7号线杨高南路357米,1室0厅1卫-18.0㎡ ,1500,http://www.mgzf.com/room/15219886.shtml?page=list&sourceType=2
闵行区-世博家园十三街坊,"地理位置优越, 绿化覆盖率高, 房间朝向好",距8号线联航路254米,1室1厅1卫-40.0㎡ ,2000,http://www.mgzf.com/room/15218299.shtml?page=list&sourceType=2
松江区-凯富人才公寓,"房间照片实拍, 中高楼层, 拎包入住",位于 松江科技园 附近,1室0厅1卫-15.0㎡ 水景房A,1500,http://www.mgzf.com/room/11020976.shtml?page=list&sourceType=2
松江区-凯富人才公寓,"交通便捷, 物业管理严格, 配备宽带",位于 松江科技园 附近,1室0厅1卫-14.56㎡ 坤B,1400,http://www.mgzf.com/room/11022158.shtml?page=list&sourceType=2
浦东新区-浦发绿城1960弄小区,精装全配两房两厅，家电齐全，小区周围设施全面，11号地铁房,距11号线浦三路888米,2室2厅1卫-115.0㎡ ,4500,http://www.mgzf.com/room/15201292.shtml?page=list&sourceType=2
浦东新区-东园一村,陆家嘴品牌公寓 东园一村 精装全配 地铁2号线,距2号线东昌路294米,1室1厅1卫-40.0㎡ ,6288,http://www.mgzf.com/room/15212272.shtml?page=list&sourceType=2
浦东新区-展峰大楼,"交通便利, 可随时看房, 电梯房",距6号线东明路312米,二居室-南卧-35.0㎡,2200,http://www.mgzf.com/room/15228748.shtml?page=list&sourceType=2
黄浦区-兴安里,"地铁沿线, 高档品质小区, 舍友素质高",位于 新天地 附近,2室1厅1卫-89.0㎡ ,5900,http://www.mgzf.com/room/15225307.shtml?page=list&sourceType=2
闵行区-浦江世博家园十街坊,地铁零距离，八号线江月路联航路，朝南房间房东直租！,距8号线联航路382米,三居室-北卧-18.0㎡,1300,http://www.mgzf.com/room/15194371.shtml?page=list&sourceType=2
松江区-星辰园,"星辰园，朝南主卧窗外带阳台, 房间干净整洁，可做饭，免网费",距9号线松江大学城545米,三居室-东卧-20.0㎡,1800,http://www.mgzf.com/room/500947.shtml?page=list&sourceType=2
浦东新区-三杨新村二街坊,"交通便利, 可随时看房, 采光充足",距8号线杨思716米,1室0厅1卫-20.0㎡ ,1950,http://www.mgzf.com/room/15084883.shtml?page=list&sourceType=2
宝山区-赟寓公寓,"7号线地铁沿线,大华三路地铁口500米左右 拎包入住精装",距7号线大华三路420米,1室1厅1卫-28.0㎡ 房型a,3200,http://www.mgzf.com/room/15197179.shtml?page=list&sourceType=2
浦东新区-休思公寓.,8号线杨思站 地铁仅300米 白领高档公寓可做饭 直达人广,距8号线杨思177米,1室0厅1卫-30.0㎡ 户型C,3300,http://www.mgzf.com/room/15137374.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）会员终身免佣地理位置优越, 视野开阔, 电梯房",距8号线杨思306米,1室1厅1卫-55.0㎡ ,4350,http://www.mgzf.com/room/15292717.shtml?page=list&sourceType=2
浦东新区-唐丰苑,唐丰苑 精装主卧带独卫 家具家电全配 拎包入住 看房随时,位于 唐镇 附近,四居室-南卧-20.0㎡,2100,http://www.mgzf.com/room/15140329.shtml?page=list&sourceType=2
闵行区-浦江世博家园十街坊,( 网 红 租 房 ) 会 员 终 生 免 拥,距8号线联航路382米,1室0厅1卫-58.0㎡ ,1500,http://www.mgzf.com/room/15198853.shtml?page=list&sourceType=2
闵行区-旭辉浦江国际,( 网 红 租 房 ) 会 员 终 生 免 拥,距8号线联航路581米,1室0厅1卫-55.0㎡ ,1500,http://www.mgzf.com/room/15197740.shtml?page=list&sourceType=2
浦东新区-德祥苑,"社区配套成熟, 中高楼层, 采光充足",距13号线陈春路290米,二居室-南卧-19.0㎡,2000,http://www.mgzf.com/room/15198199.shtml?page=list&sourceType=2
浦东新区-东方康德家园105弄,"社区配套成熟, 治安良好, 拎包入住",距11号线三林835米,3室1厅1卫-102.0㎡ ,5150,http://www.mgzf.com/room/15231886.shtml?page=list&sourceType=2
浦东新区-华夏小区,杨思站1号口整租一房独门独户有小厅民用水电步梯三楼华夏小区,距8号线杨思259米,1室1厅1卫-40.0㎡ ,3000,http://www.mgzf.com/room/15286969.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"交通便利, 绿化覆盖率高, 房间干净整洁",距11号线三林1132米,1室0厅1卫-30.0㎡ ,1600,http://www.mgzf.com/room/15286198.shtml?page=list&sourceType=2
浦东新区-三林新村468弄,"社区配套成熟, 视野开阔, 精装修房",距11号线三林1132米,2室1厅1卫-77.0㎡ ,6300,http://www.mgzf.com/room/15284494.shtml?page=list&sourceType=2
松江区-丽景苑,"房间照片实拍, 视野开阔, 配备宽带",距9号线九亭447米,五居室-南卧-30.0㎡,1750,http://www.mgzf.com/room/2332006.shtml?page=list&sourceType=2
浦东新区-三林新村133弄,"地处繁华商圈, 治安良好, 配备宽带",距11号线三林886米,2室1厅1卫-78.0㎡ ,5500,http://www.mgzf.com/room/15284455.shtml?page=list&sourceType=2
浦东新区-金谊河畔,"地处中心地段, 视野开阔, 房间朝向好",距11号线三林505米,三居室-南卧-30.0㎡,3600,http://www.mgzf.com/room/15208525.shtml?page=list&sourceType=2
奉贤区-友家公寓联盟南桥店,"地处中心地段, 安静宜居, 配备宽带",距5号线环城东路796米,1室1厅1卫-30.0㎡ 标房,1300,http://www.mgzf.com/room/3145975.shtml?page=list&sourceType=2
浦东新区-招远小区,陆家嘴品牌公寓 招远小区 精装一室一厅 地铁2号线,距2号线东昌路323米,1室1厅1卫-40.0㎡ ,6188,http://www.mgzf.com/room/15212230.shtml?page=list&sourceType=2
浦东新区-博爱家园,"房间照片实拍, 黄金楼层, 家具齐全",距6号线高科西路193米,1室0厅1卫-25.0㎡ ,1600,http://www.mgzf.com/room/15184705.shtml?page=list&sourceType=2
浦东新区-新世纪花苑一期,"地处中心地段, 视野开阔, 家具齐全",距7号线长清路113米,二居室-南卧-30.0㎡,2200,http://www.mgzf.com/room/15229153.shtml?page=list&sourceType=2
浦东新区-川杨新苑四期,近13号线 绿地 百度 软件园 精装全配 欧式家具 看好即住,距13号线张江路820米,三居室-南卧-25.0㎡,1100,http://www.mgzf.com/room/15201988.shtml?page=list&sourceType=2
浦东新区-齐友佳苑,"交通便利, 可随时看房, 家具齐全",距2号线东延伸段创新中路939米,四居室-南卧-18.0㎡,1900,http://www.mgzf.com/room/15230182.shtml?page=list&sourceType=2
浦东新区-绿波城,房东直租：可办居住证、落户（网签租赁备案） 整租两房近地铁,距2号线东延伸段创新中路880米,2室1厅1卫-75.0㎡ ,5600,http://www.mgzf.com/room/15094978.shtml?page=list&sourceType=2
浦东新区-东方康德家园971弄,（ 微 租 公 寓 ）会 员 终 生 免 佣,距8号线芦恒路1741米,1室0厅1卫-18.0㎡ ,1800,http://www.mgzf.com/room/15219946.shtml?page=list&sourceType=2
浦东新区-盛世南苑,房屋出租，喜欢，加微信Msj4948,距8号线芦恒路408米,1室0厅1卫-28.0㎡ ,1680,http://www.mgzf.com/room/15187570.shtml?page=list&sourceType=2
浦东新区-博学家园,(微租公寓)会员终生免佣,距6号线高青路412米,1室0厅1卫-20.0㎡ ,1950,http://www.mgzf.com/room/15149446.shtml?page=list&sourceType=2
浦东新区-申城佳苑三期A块,"房间照片实拍, 性价比高, 电梯房",距13号线张江路1271米,四居室-南卧-18.0㎡,1900,http://www.mgzf.com/room/15250888.shtml?page=list&sourceType=2
